OPENADMET_INCHIKEY,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM,OPENADMET_CANONICAL_SMILES
MFAWSNPHJTXASH-UHFFFAOYSA-N,3.545307116465824,3510.0,,,4.437829806408219,27405.0,C1=CC2=C(C=C1CN1CC3(COC3)C1)OCO2
MFDGFYNDFISMJK-UHFFFAOYSA-N,1.146128035678238,14.0,1.3010299956639813,20.0,1.3979400086720377,25.0,NCCNC1=CC(N2CCOC3=CC=CC=C3C2)=NC2=CC=CC=C12
MFELOIQWSKQMLV-KRWDZBQOSA-N,0.5453071164658241,3.51,,,,,C[C@H]1CN(CC2=CC(Cl)=CC=C2CCC(=O)O)CCN1C(=O)CC1=CC=CC=C1
MFEXYBHSQPMAMB-UHFFFAOYSA-N,0.5453071164658241,3.51,,,,,CC(=O)N1CCC2=CC(S(C)(=O)=O)=CC=C2C1C(=O)NC1=CC=C(C(O)(C(F)(F)F)C(F)(F)F)C=C1
MFFBVLFWPMYFQD-UHFFFAOYSA-N,1.1095785469043866,12.87,,,,,CC1=NC2=NC=NN2C(NC2=CC=C3OCOC3=C2)=C1
MFGUSQRABAVVFV-INIZCTEOSA-N,1.8605775512444156,72.54,2.1473671077937864,140.4,,,C[C@H](NC1=NC=NC(N)=C1C#N)C1=NC2=CC=C(F)C=C2C(C(=O)N2CCS(=O)(=O)CC2)=C1C1=CC=CC=C1
MFGYFWBFFHPCDP-OZNCUSTMSA-N,1.0681858617461617,11.7,,,1.5927317663939622,39.15,CC1=CC(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)=C(C)S1
MFHDTSXVOMAELU-UHFFFAOYSA-N,,,,,0.8937617620579434,7.83,COC1=CC=CC=C1C1=C2C=NC(NC3CCN(C(=O)N4CCOCC4)CC3)=NC2=NN1
MFHNFITUWQJMEV-UHFFFAOYSA-N,2.1473671077937864,140.4,,,,,CNC(=O)C1=CC(N)=C(NC2=CC=C(C#N)C=C2)C=C1OC1=C(C)C=C(CCC#N)C=C1C
MFJWXRIWIGLCGD-UHFFFAOYSA-N,0.5453071164658241,3.51,,,,,O=C(NS(=O)(=O)C1=CC=CC=C1)N1CCC(N2CCC(OC3=CC=C(Cl)C(Cl)=C3)CC2)CC1
MFKOWXPRDGJYSC-UHFFFAOYSA-N,2.8939447594865166,783.33,3.4771212547196626,3000.0,3.6368217635143676,4333.33,CC1=CC=CC(C)=C1OC1=CC=C(C(C)(C)O)C=C1C1=CN(C)C(=O)C2=C1C=C(C(=O)NC(C)(C)C)N2
MFMDVKWARMTSJE-NOVWEMISSA-N,2.545307116465824,351.0,,,,,CC(C)COC[C@@]1(N=[N+]=[N-])O[C@@H](N2C=CC(N)=NC2=O)[C@H](C)[C@@H]1OCC(C)C
MFMYBHHGKONKNN-UHFFFAOYSA-N,-0.23284413391781958,0.585,0.45939248775923086,2.88,,,O=C(NCC1CCOCC1)C1=CN=C(NC2=CC=CC(Br)=C2)C=C1C1CC1
MFRCOQXLJGTTAZ-KWCCSABGSA-N,1.187520720836463,15.4,,,,,CC(OC1=CC=C(CN2C[C@@H](C)OC2=O)C=N1)C1CCCCC1
MFVOIPKDSOFMQO-HDJSIYSDSA-N,1.7583819417746753,57.33,,,,,COC1=CC=C(NC2=NC=C3C(=N2)N([C@H]2CC[C@H](O)CC2)C(=O)N3C)C(C)=C1
MFXBORMLOKAXKZ-AWEZNQCLSA-N,1.0504570947857301,11.232,,,1.5750029994335306,37.584,C[C@H](NC(=O)C1=C(CC2=CC=C(C(F)(F)F)C=C2)SC2=C1CCOC2)C1=CC=C(C(=O)O)C=C1
MFZBMGMZVDXMEK-IRXDYDNUSA-N,2.3483048630481607,223.0,,,,,CC1=CC2=C(C=C1Cl)N=C(N1CCC(C(=O)N[C@H]3CCC[C@H](C(C)(C)O)C3)CC1)O2
MFZJHPVOBFJYHO-UHFFFAOYSA-N,-1.5228787452803376,0.03,,,1.146128035678238,14.0,COCCCOC1=CC2=C(C=C1OC)C1=CC(=O)C(C(=O)O)=CN1C(C1(C)CC1)C2
MGABIFOFXDSGGN-UHFFFAOYSA-N,,,,,3.2317243833285163,1705.0,COC1=CC=C(C(=O)NC2=CC=C(O)C=C2NC(=O)C2=CC=C(N3CCCN(C)CC3)C=C2)C=C1
MGAPVOBBWDUNPY-UHFFFAOYSA-N,0.670245853074124,4.68,,,,,CN1C=C(CN2CCC3=CC4=C(C=C3CC2)SC(N)=N4)C=N1
MGBKNYVKMVRDET-UHFFFAOYSA-N,0.9712758487381052,9.36,,,,,O=C(NC1CCN(C2=NC=NC3=C2N=C(C2=CC=CC=C2Cl)N3C2=CC=C(Cl)C=C2)CC1)NC1CCC(F)(F)CC1
MGDPZHRLRLDUKS-UHFFFAOYSA-N,,,2.4674601095072637,293.4,,,CC1=C2C(=O)N(C3=CC=CC(Cl)=C3)NC2=CC(=O)N1C
MGEHVYLQBJLVAG-SNVBAGLBSA-N,2.2041199826559246,160.0,,,,,CC1=CC(Cl)=C(NC2=NC(Cl)=CN([C@H](C)C3CC3)C2=O)C=C1C#N
MGESDQAAIJOGJA-UHFFFAOYSA-N,2.541154725832547,347.66,2.696129132976552,496.74,,,CC1=NC2=NC(SCC3=CC=C(Cl)C=C3)=NN2C(SC2=NN=NN2CCN(C)C)=C1
MGEUGBNDNXYIDC-CVEARBPZSA-N,1.1473671077937864,14.04,1.334453751150931,21.6,,,CC(C)NCC1=C(C2=CC=C(C(F)(F)F)C=C2)ON=C1C(=O)N[C@@H]1CCC[C@H](O)C1
MGFKNTOJEHDHQL-UHFFFAOYSA-N,2.031973689091717,107.64,,,,,FC1=CC=CC=C1CC1=C2C=CC=CN2C(C2=NNC(C(F)(F)C(F)(F)F)=N2)=N1
MGGGINLIPISYAS-UHFFFAOYSA-N,,,,,1.9084850188786497,81.0,COC1=NC=C(N2CCC3=NC=NC(C4=CC=NC(NC5CCN(C)CC5)=C4)=C3C2)C=C1C
MGGVXFSORZOPTL-CLJLJLNGSA-N,,,1.6074550232146685,40.5,,,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C2=NN(C3=CC=C(F)C=C3)C=C2C2=CC=C(N3CCS(=O)(=O)CC3)C=C2)CC1
MGILTQRFNXGDIM-UHFFFAOYSA-N,1.1250907130826342,13.338,,,1.3003019424918985,19.966499999999996,CC1=CC(S(=O)(=O)NC(=O)NC2=NC=C(Br)S2)=CC=C1C1=CC=C(F)N=C1
MGJLUYLLQBNPGM-UHFFFAOYSA-N,0.9132839017604184,8.19,,,,,O=C(NC1=CC=C(OC(F)(F)F)C=C1)N1CCC2(CCN(C(=O)C3(C(F)(F)F)CC3)CC2)C1
MGJMUVKYINFAQC-UHFFFAOYSA-N,1.583538819254352,38.33,,,2.146128035678238,140.0,CCOC1=CC(NC(=O)NCC2=CC(C)=C(C3=CN(C)N=C3C(F)(F)F)N=N2)=CC(C(F)(F)F)=N1
MGJOQYMLLCTZSD-UHFFFAOYSA-N,1.2143138974243997,16.38,,,1.7388598020722001,54.81,O=C1NC=C(CSC2=CC=C(S(F)(F)(F)(F)F)C=C2)NC1=O
MGJSXLNXMNGWKC-BRWVUGGUSA-N,,,,,3.11293997608408,1297.0,ON=C(O)[C@@H]1[C@H](C2=CC=CC=C2)[C@H]1C1=CC=C(C2=NC=CO2)C=C1
MGNAAFXYBOHOKA-XDHOZWIPSA-N,,,,,2.325125526216931,211.41,C=C1N/C(=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)C(O)=C1C(=O)OCC
MGNUUPFOORCXCU-UHFFFAOYSA-N,,,1.7234556720351857,52.9,,,C1=CC=C(C2=CC=C(OCCCCCN3CCCCCC3)C=C2)C=C1
MGNVGEAKHHERNX-UHFFFAOYSA-N,2.3924683170438543,246.87,2.960280464436642,912.6,,,O=C(NC1(C2=CC=CC=C2)CC1)C1=CC=C(CN(CC2=CC=CC=C2)S(=O)(=O)C2=CC=C(Cl)C=C2)C=C1
MGOPCYIZHYONRL-UHFFFAOYSA-N,1.1095785469043866,12.87,,,,,CC(=O)N1CC2=CC(S(=O)(=O)NC3CC3)=CC=C2C1C(=O)NC1=CC=C(C(O)(C(F)(F)F)C(F)(F)F)C=C1
MGOSAGCMMBAHOF-UHFFFAOYSA-N,1.40862997658628,25.622999999999998,1.7323937598229684,53.99999999999999,,,N#CC1=CC=C(NC2=NC=CC(NC3=C(F)C=C(C4=CC=C(C#N)C=C4)C=C3F)=N2)C=C1
MGPSCITXYYLCAC-CJQOFVABSA-N,1.0102999566398119,10.24,,,,,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)CF)C4=CC=CC=C4)C[C@@](O)([C@@H](OC(=O)C4=CC=CC=C4)[C@H]21)C3(C)C
MGQRDJVJAHQZIW-UHFFFAOYSA-N,0.4522465745204372,2.833,,,,,C1=CN2C=C(C3=CC=C4NC=NC4=N3)N=C(NC3=CC=C(N4CCN(C5COC5)CC4)C=C3)C2=N1
MGQRODBGBVCRHA-FZMZJTMJSA-N,0.414973347970818,2.6,1.7323937598229686,54.0,,,C=C(F)CN(CC)C(=O)[C@@]1(C2=CC=CS2)C[C@H]1CN
MGRJMWYCHSGHRT-UHFFFAOYSA-N,0.36791473879375264,2.333,,,,,C1=CN2C=C(C3=NC4=NNC=C4N=C3)N=C(NC3=CC=C(N4CCN(C5COC5)CC4)C=C3)C2=N1
MGRWIWUIPXJPPB-KLPPZKSPSA-N,,,,,1.0240955305529496,10.570500000000003,CC(=O)NC1=CC=C2NC(=O)N([C@H]3CC[C@@H](C(F)(F)F)CC3)C(=O)C2=C1
MGRWIWUIPXJPPB-UMSPYCQHSA-N,,,,,0.291701770729981,1.9575,CC(=O)NC1=CC=C2NC(=O)N([C@H]3CC[C@H](C(F)(F)F)CC3)C(=O)C2=C1
MGTIYTIHQFFBLS-UHFFFAOYSA-N,0.9255183581774301,8.424,,,,,COCC1=NC(N)=C2N=NN(CC3CCCCO3)C2=N1
MGUIUBDNWFFWTR-UHFFFAOYSA-N,,,-1.0675262353228467,0.0856,,,CCC1=NC(C(=O)NCC(C)(O)C(F)(F)F)=C(N)C=C1C(F)(F)F
MGVAEKDEOZQPGK-UHFFFAOYSA-N,1.0043213737826426,10.1,,,,,ClC1=CC=CC(COC2=CN=C(C3=NN=CO3)C=C2Cl)=C1
MGWKDAGJOFVZHC-YWZLYKJASA-N,,,,,1.990671775066,97.875,C[C@H](NC(=O)[C@@H]1CCCN1C)C1=CC=C(NC(=O)N2CC(C3=CC=C(N)N=C3)C2)C=C1
MGXSPDZHQQULBW-UHFFFAOYSA-N,1.9315087218666176,85.41,,,2.967480112404066,927.855,COC1=C(C(=O)NCCN2CCOCC2)N(C)C2=C1C(=O)N(CC(=O)C1=CC=CC=C1)C1=CC=CC=C21
MGYAMTJNJZZLMV-UHFFFAOYSA-N,,,4.9273703630390235,84600.0,,,N#CC1=CC(Cl)=NC(OCC2=CC=CC(Cl)=C2)=C1
MGZJKYTZNDZWJI-IBGZPJMESA-N,1.178101724769955,15.069600000000001,,,,,CC(C)C1=NC2=CC=C(C3=CC=C(F)C=C3)C=C2C(=O)N1C[C@H]1CCCN(C(C)C)C1
MGZPVGRXWNMTDS-UHFFFAOYSA-N,1.8690403532497226,73.96740000000001,,,,,C=CCC1=C(NCC2=CC=CC=N2)N2N=CC(C3=CC=CC=C3)=C2N=C1C
MGZUFJIPFKKQOR-UHFFFAOYSA-N,,,2.8562454007900544,718.2,,,O=C(NC1=CC=CC=C1)N1CCC2=C(C=CS2)C1C1=CC=CC=C1C(F)(F)F
MHAQTEBGBYFXKL-CQSZACIVSA-N,1.0681858617461617,11.7,,,,,NC(=O)C1=C(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C4=CC=CC=C34)CC2)C=CC(Cl)=C1Cl
MHBFVPVYPARAIN-UHFFFAOYSA-N,1.0224283711854865,10.53,,,,,CCN1C=NC2=C(C3=CC=C(F)C(C4=CC=CC=C4S(=O)(=O)CC)=C3)C=NN=C21
MHBLRRVMUPLWSD-UHFFFAOYSA-N,0.9712758487381052,9.36,,,,,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(C3=CN=CC=N3)C=CC=C2N1CC(=O)O
MHEGXLWYODUJMQ-UHFFFAOYSA-N,1.515343893088381,32.76,2.547528576459782,352.8,2.4677930297856623,293.625,CN1C(C2=CC3=C(CNCC3)S2)=NC2=C(C(N)=O)C=C(F)C=C21
MHEJOGKKTNUSDE-UHFFFAOYSA-N,1.0073209529227445,10.17,,,,,CCC1=CC=C(C2=NC3=CC=C(NC(=O)C4=CC([N+](=O)[O-])=CC=C4Cl)C=C3N2C)C=C1
MHGDLTRGGROAQK-UHFFFAOYSA-N,0.12126430522958132,1.3220999999999998,-0.3467874862246563,0.45,,,O=C1C2=NC3=CC=CC(Cl)=C3N2CCN1CC1CC1
MHHONODRBSDYMG-UHFFFAOYSA-N,-1.3010299956639813,0.05,,,-1.1870866433571443,0.065,CC1=CC(Cl)=CC=C1C1=CC=C(NC(=O)N2CCC3=C(F)C=CC(N4CCN(C)CC4)=C3C2)N=C1
MHHVTCDCADBEER-UHFFFAOYSA-N,1.2750117377780115,18.837000000000003,,,2.5133767678007497,326.1195,O=C1N=C(N2CCC3(CC2)CC3)SC2=C([N+](=O)[O-])C=C(C(F)(F)F)C=C12
